Age,Dx,Dx1y,Dx1y1,Dx1y1Prime,Dx1yPrime,DxPrime,Dxy,Dxy1,Dxy1Prime,DxyPrime,Dy,DyPrime,ETx,ETy,lx,lx1y,lx1y1,lxy,lxy1,ly,Mx,Nx,Nx1y,Nx1y1,Nx1y1Prime,Nx1yPrime,NxPrime,Nxy,Nxy1,Nxy1Prime,NxyPrime,Ny,NyPrime,qx,qy,Rx,vx,vxPrime,vy,vyPrime
0,1,1,1,1,1,1,1,1,1,1,1,1,81.21500347298692,81.21500347298692,1,1,1,1,1,1,0.006240952577216606,13.41574713113723,13.386329163513393,13.383567996599108,17.62015937429125,17.62696520582929,17.707131876455094,13.383567996599108,13.380553520257969,17.612791152433427,17.62015937429125,13.41574713113723,17.707131876455094,0,0,0.25084621472305935,1,1,1,1
1,0.9259259259259258,0.9259259259259258,0.9259259259259258,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9259259259259258,0.9259259259259258,0.9444444444444444,0.9444444444444444,0.9259259259259258,0.9444444444444444,80.21500347298691,80.21500347298691,1,1,1,1,1,1,0.006240952577216606,12.41574713113723,12.386329163513393,12.383567996599108,16.62015937429125,16.62696520582929,16.707131876455094,12.383567996599108,12.380553520257969,16.612791152433427,16.62015937429125,12.41574713113723,16.707131876455094,0,0,0.2446052621458428,0.9259259259259258,0.9444444444444444,0.9259259259259258,0.9444444444444444
2,0.8573388203017832,0.8573388203017832,0.8573388203017832,0.8919753086419753,0.8919753086419753,0.8919753086419753,0.8573388203017832,0.8573388203017832,0.8919753086419753,0.8919753086419753,0.8573388203017832,0.8919753086419753,79.21500347298691,79.21500347298691,1,1,1,1,1,1,0.006240952577216606,11.489821205211305,11.460403237587467,11.457642070673183,15.675714929846807,15.682520761384845,15.762687432010651,11.457642070673183,11.454627594332043,15.668346707988983,15.675714929846807,11.489821205211305,15.762687432010651,0,0,0.23836430956862623,0.8573388203017832,0.8919753086419753,0.8573388203017832,0.8919753086419753
3,0.7938322410201696,0.7938322410201696,0.7938322410201696,0.8424211248285322,0.8424211248285322,0.8424211248285322,0.7938322410201696,0.7938322410201696,0.8424211248285322,0.8424211248285322,0.7938322410201696,0.8424211248285322,78.21500347298691,78.21500347298691,1,1,1,1,1,1,0.006240952577216606,10.632482384909522,10.603064417285685,10.6003032503714,14.783739621204832,14.79054545274287,14.870712123368676,10.6003032503714,10.597288774030261,14.776371399347008,14.783739621204832,10.632482384909522,14.870712123368676,0,0,0.23212335699140965,0.7938322410201696,0.8424211248285322,0.7938322410201696,0.8424211248285322
4,0.7350298527964533,0.7350298527964533,0.7350298527964533,0.7956199512269471,0.7956199512269471,0.7956199512269471,0.7350298527964533,0.7350298527964533,0.7956199512269471,0.7956199512269471,0.7350298527964533,0.7956199512269471,77.21500347298691,77.21500347298691,1,1,1,1,1,1,0.006240952577216606,9.838650143889353,9.809232176265516,9.806471009351231,13.9413184963763,13.94812432791434,14.028290998540145,9.806471009351231,9.803456533010092,13.933950274518477,13.9413184963763,9.838650143889353,14.028290998540145,0.000637,0.000637,0.22588240441419302,0.7350298527964533,0.7956199512269471,0.7350298527964533,0.7956199512269471
5,0.6801496655372424,0.6801496655372424,0.6801496655372424,0.7509401890225701,0.7509401890225701,0.7509401890225701,0.6801496655372424,0.6801496655372424,0.7509401890225701,0.7509401890225701,0.6801496655372424,0.7509401890225701,76.263902078611,76.263902078611,0.999363,0.999363,0.999363,0.999363,0.999363,0.999363,0.005807421080706105,9.1036202910929,9.074202323469063,9.071441156554778,13.145698545149354,13.152504376687393,13.232671047313199,9.071441156554778,9.068426680213639,13.13833032329153,13.145698545149354,9.1036202910929,13.232671047313199,0.00043,0.00043,0.21964145183697645,0.6805831970337529,0.7514188428254499,0.6805831970337529,0.7514188428254499
6,0.6294974085009827,0.6294974085009827,0.6294974085009827,0.7089163244778854,0.7089163244778854,0.7089163244778854,0.6294974085009827,0.6294974085009827,0.7089163244778854,0.7089163244778854,0.6294974085009827,0.7089163244778854,75.29649457127665,75.29649457127665,0.99893327391,0.99893327391,0.99893327391,0.99893327391,0.99893327391,0.99893327391,0.0055366207509088715,8.423470625555657,8.39405265793182,8.391291491017535,12.394758356126784,12.401564187664823,12.481730858290629,8.391291491017535,8.388277014676396,12.38739013426896,12.394758356126784,8.423470625555657,12.481730858290629,0.000357,0.000357,0.2138340307562703,0.6301696268831045,0.7096733515573694,0.6301696268831045,0.7096733515573694
7,0.5826598869686553,0.5826598869686553,0.5826598869686553,0.6692930612750441,0.6692930612750441,0.6692930612750441,0.5826598869686553,0.5826598869686553,0.6692930612750441,0.6692930612750441,0.5826598869686553,0.6692930612750441,74.32320645598145,74.32320645598145,0.998576654731214,0.998576654731214,0.998576654731214,0.998576654731214,0.998576654731214,0.998576654731214,0.0053285368853210465,7.793973217054674,7.7645552494308365,7.761794082516552,11.6858420316489,11.692647863186938,11.772814533812744,7.761794082516552,7.758779606175413,11.678473809791075,11.6858420316489,7.793973217054674,11.772814533812744,0.000278,0.000278,0.20829741000536142,0.5834903952621338,0.6702470542486266,0.5834903952621338,0.6702470542486266
8,0.5393499143704428,0.5393499143704428,0.5393499143704428,0.631934386814898,0.631934386814898,0.631934386814898,0.5393499143704428,0.5393499143704428,0.631934386814898,0.631934386814898,0.5393499143704428,0.631934386814898,73.34373501431541,73.34373501431541,0.9982990504211988,0.9982990504211988,0.9982990504211988,0.9982990504211988,0.9982990504211988,0.9982990504211988,0.005178555914416152,7.211313330086019,7.181895362462181,7.1791341955478964,11.016548970373856,11.023354801911895,11.1035214725377,7.1791341955478964,7.176119719206757,11.009180748516032,11.016548970373856,7.211313330086019,11.1035214725377,0.000255,0.000255,0.2029688731200404,0.5402688845019757,0.6330111067903695,0.5402688845019757,0.6330111067903695
9,0.4992707223539613,0.4992707223539613,0.4992707223539613,0.5966747300159124,0.5966747300159124,0.5966747300159124,0.4992707223539613,0.4992707223539613,0.5966747300159124,0.5966747300159124,0.4992707223539613,0.5966747300159124,72.36231490461608,72.36231490461608,0.9980444841633415,0.9980444841633415,0.9980444841633415,0.9980444841633415,0.9980444841633415,0.9980444841633415,0.005051209406856464,6.671963415715576,6.642545448091738,6.6397842811774535,10.384614583558959,10.391420415096997,10.471587085722803,6.6397842811774535,6.636769804836314,10.377246361701134,10.384614583558959,6.671963415715576,10.471587085722803,0.000244,0.000244,0.1977903172056242,0.5002489671314589,0.5978438230797934,0.5002489671314589,0.5978438230797934
10,0.4621749076830619,0.4621749076830619,0.4621749076830619,0.5633886335272448,0.5633886335272448,0.5633886335272448,0.4621749076830619,0.4621749076830619,0.5633886335272448,0.5633886335272448,0.4621749076830619,0.5633886335272448,71.37985358889176,71.37985358889176,0.9978009613092056,0.9978009613092056,0.9978009613092056,0.9978009613092056,0.9978009613092056,0.9978009613092056,0.004938411206620939,6.172692693361614,6.143274725737776,6.140513558823492,9.787939853543046,9.794745685081084,9.87491235570689,6.140513558823492,6.1374990824823525,9.780571631685222,9.787939853543046,6.172692693361614,9.87491235570689,0.000234,0.000234,0.19273910779876777,0.46319348808468414,0.5646302773531383,0.46319348808468414,0.5646302773531383
11,0.4278395914395038,0.4278395914395038,0.4278395914395038,0.5319647561099438,0.5319647561099438,0.5319647561099438,0.4278395914395038,0.4278395914395038,0.5319647561099438,0.5319647561099438,0.4278395914395038,0.5319647561099438,70.39644335663723,70.39644335663723,0.9975674758842593,0.9975674758842593,0.9975674758842593,0.9975674758842593,0.9975674758842593,0.9975674758842593,0.0048382733099562765,5.710517785678552,5.681099818054714,5.67833865114043,9.224551220015801,9.23135705155384,9.311523722179645,5.67833865114043,5.67532417479929,9.217182998157977,9.224551220015801,5.710517785678552,9.311523722179645,0.000216,0.000216,0.1878006965921468,0.4288828593376705,0.5332619286112972,0.4288828593376705,0.5332619286112972
12,0.3960622019331045,0.3960622019331045,0.3960622019331045,0.5023026377380339,0.5023026377380339,0.5023026377380339,0.3960622019331045,0.39580991031047313,0.5019826709577947,0.5023026377380339,0.3960622019331045,0.5023026377380339,69.41154425019529,69.41154425019529,0.9973520013094683,0.9973520013094683,0.9973520013094683,0.9973520013094683,0.9967166880846342,0.9973520013094683,0.004752705391668375,5.282678194239048,5.25326022661521,5.250499059700926,8.692586463905858,8.699392295443896,8.779558966069702,5.250499059700926,5.247484583359786,8.685218242048034,8.692586463905858,5.282678194239048,8.779558966069702,0.000209,0.000209,0.1829624232821905,0.3971137586459912,0.5036362659106696,0.3971137586459912,0.5036362659106696
13,0.3666476156786115,0.3666476156786115,0.3664140611474242,0.47399565899181095,0.47429778668192735,0.47429778668192735,0.3664140611474242,0.36625650310113084,0.4737918408584445,0.47399565899181095,0.3666476156786115,0.47429778668192735,68.42594977369801,68.42594977369801,0.9971435547411946,0.9971435547411946,0.9965083742968245,0.9965083742968245,0.9960798756958769,0.9971435547411946,0.004676060021109098,4.886615992305943,4.857198024682106,4.854436857767821,8.190283826167825,8.197089657705863,8.277256328331669,4.854436857767821,4.851674673049313,8.18323557109024,8.190283826167825,4.886615992305943,8.277256328331669,0.000212,0.000212,0.17820971789052212,0.367697924672214,0.4756564733600768,0.367697924672214,0.4756564733600768
14,0.3394165614667478,0.3392003531170935,0.33905449696525314,0.4473752082666168,0.44756766236143225,0.447852944687198,0.33905449696525314,0.33893345450983653,0.4472154953172656,0.4473752082666168,0.3394165614667478,0.447852944687198,67.44035312856126,67.44035312856126,0.9969321603075896,0.9962971145214736,0.9958687067622293,0.9958687067622293,0.9955131816339152,0.9969321603075896,0.004604088452105519,4.5199683766273315,4.490550409003494,4.488022796620397,7.716288167176014,7.7227918710239365,7.802958541649741,4.488022796620397,4.485418169948183,7.709443730231795,7.716288167176014,4.5199683766273315,7.802958541649741,0.000223,0.000223,0.17353365786941302,0.34046104136316113,0.44923111372896146,0.34046104136316113,0.44923111372896146
15,0.31420451071624145,0.3138693405670647,0.31375728921248225,0.4222760014694871,0.42242680783988595,0.42287790273161424,0.31375728921248225,0.3136700646860812,0.4221586087410786,0.4222760014694871,0.31420451071624145,0.42287790273161424,66.45528415692824,66.45528415692824,0.996709844435841,0.9956466280406214,0.9952911821944108,0.9952911821944108,0.9950144912457609,0.996709844435841,0.004534005217654516,4.180551815160584,4.1513500558864,4.148968299655144,7.2689129589093975,7.275224208662504,7.355105596962543,4.148968299655144,4.146484715438346,7.26222823491453,7.2689129589093975,4.180551815160584,7.355105596962543,0.000243,0.000243,0.1689295694173075,0.31524170496588994,0.424273829632908,0.31524170496588994,0.424273829632908
16,0.2908594065001272,0.29044541314000333,0.2903646693151504,0.39860846729920146,0.3987193112677339,0.39928763543451434,0.2903646693151504,0.2902906263244751,0.39850682214004024,0.39860846729920146,0.2908594065001272,0.39928763543451434,65.47131518651858,65.47131518651858,0.9964676439436431,0.9950493264371376,0.9947727027243881,0.9947727027243881,0.9945190356851935,0.9964676439436431,0.004463309202743361,3.8663473044443424,3.837480715319336,3.835211010442662,6.846636957439911,6.852797400822618,6.932227694230929,3.835211010442662,3.832814650752265,6.8400696261734515,6.846636957439911,3.8663473044443424,6.932227694230929,0.000275,0.000275,0.16439556419965298,0.29189046756100917,0.4007030613199687,0.29189046756100917,0.4007030613199687
17,0.26924020385494407,0.26878223984360067,0.2687137003724405,0.3762640531659543,0.37636002497232224,0.3770012851495048,0.2687137003724405,0.2686481342295497,0.37617224473698185,0.3762640531659543,0.26924020385494407,0.3770012851495048,64.48918721300221,64.48918721300221,0.9961936153415586,0.9944991402311388,0.9942455429503799,0.9942455429503799,0.9940029470379002,0.9961936153415586,0.004389247779791939,3.5754878979442153,3.547035302179333,3.5448463411275117,6.448028490140709,6.4540780895548835,6.532940058796415,3.5448463411275117,3.54252402442779,6.441562804033412,6.448028490140709,3.5754878979442153,6.532940058796415,0.00032,0.00032,0.15993225499690958,0.2702689514453788,0.37844178013552593,0.2702689514453788,0.37844178013552593
18,0.24921671017565786,0.24872936295214937,0.24866867298758907,0.3551600990842957,0.35524677929844445,0.3559428311416872,0.24866867298758907,0.24861048451811002,0.35507699162111,0.3551600990842957,0.24921671017565786,0.3559428311416872,63.509670307500606,63.509670307500606,0.9958748333846493,0.9939273843766357,0.993684866094848,0.993684866094848,0.993452343836182,0.9958748333846493,0.004309472904575659,3.3062476940892713,3.278253062335732,3.2761326407550713,6.071764436974755,6.0777180645825615,6.15593877364691,3.2761326407550713,3.27387589019824,6.0653905592964295,6.071764436974755,3.3062476940892713,6.15593877364691,0.000371,0.000371,0.15554300721711764,0.2502490291160915,0.3574172367946634,0.2502490291160915,0.3574172367946634
19,0.23067060257053953,0.230163348990658,0.23010949076699422,0.3352260770540397,0.33530453831600554,0.33604351099848173,0.23010949076699422,0.2300597871169886,0.33515366822139614,0.3352260770540397,0.23067060257053953,0.33604351099848173,62.533055571117494,62.533055571117494,0.9955053638214636,0.9933162090095266,0.9930837730166185,0.9930837730166185,0.9928692669216472,0.9955053638214636,0.004223862349506059,3.0570309839136134,3.029523699383583,3.027463967767482,5.716604337890459,5.722471285284117,5.799995942505223,3.027463967767482,3.02526540568013,5.710313567675319,5.716604337890459,3.0570309839136134,5.799995942505223,0.000421,0.000421,0.15123353431254202,0.231712063996381,0.3375607236394043,0.231712063996381,0.3375607236394043
20,0.21349397245079377,0.2129746432142419,0.21292864069130765,0.31640075916445953,0.3164691164936221,0.3172408124203318,0.21292864069130765,0.21288413860540323,0.31633463140579426,0.31640075916445953,0.21349397245079377,0.3172408124203318,61.55918248694451,61.55918248694451,0.9950862560632947,0.9926656847481784,0.9924512689602729,0.9924512689602729,0.9922438466450605,0.9950862560632947,0.0041339435312818,2.8263603813430738,2.799360350392925,2.797354477000488,5.381378260836419,5.387166746968111,5.463952431506741,2.797354477000488,2.7952056185631413,5.375159899453923,5.381378260836419,2.8263603813430738,5.463952431506741,0.000463,0.000463,0.14700967196303596,0.21454820740405645,0.31880735010388184,0.21454820740405645,0.31880735010388184
21,0.1975880784643973,0.19706486549135885,0.19702367893447117,0.2986221591119281,0.2986845841900238,0.29947760048394895,0.19702367893447117,0.19698190991453715,0.2985588512141965,0.2986221591119281,0.1975880784643973,0.29947760048394895,60.58746598369495,60.58746598369495,0.9946255311267375,0.9919917640227442,0.9917844377440636,0.9917844377440636,0.9915741794432622,0.9946255311267375,0.004042417874573729,2.61286640889228,2.586385707178683,2.58442583630918,5.06497750167196,5.070697630474489,5.1467116190864095,2.58442583630918,2.5823214799577383,5.058825268048128,5.06497750167196,2.61286640889228,5.1467116190864095,0.000495,0.000495,0.14287572843175417,0.19865574759634858,0.3010958306536662,0.19865574759634858,0.3010958306536662
22,0.18286136330144204,0.18233902982722086,0.18230037395289753,0.28183267210602053,0.2818924333018805,0.28269995023439215,0.18230037395289753,0.1822597209695061,0.281769823420141,0.28183267210602053,0.18286136330144204,0.28269995023439215,59.617224009579694,59.617224009579694,0.9941331914888297,0.9912935044473801,0.9910833502244374,0.9910833502244374,0.9908623386373377,0.9941331914888297,0.003951856671944214,2.4152783304278826,2.3893208416873244,2.387402157374709,4.766355342560032,4.7720130462844645,4.84723401860246,2.387402157374709,2.385339570043201,4.7602664168339315,4.766355342560032,2.4152783304278826,4.84723401860246,0.000521,0.000521,0.13883331055718043,0.18394050703365605,0.28436828450624024,0.18394050703365605,0.28436828450624024
23,0.1692278634547796,0.16870869949821116,0.16867107745822307,0.2659772979342424,0.266036624101417,0.26685529336252445,0.16867107745822307,0.1686300903864008,0.26591266545084447,0.2659772979342424,0.1692278634547796,0.26685529336252445,58.648040138491844,58.648040138491844,0.993615248096064,0.9905669957989703,0.9903460993589073,0.9903460993589073,0.9901054452567635,0.993615248096064,0.0038636429957589805,2.2324169671264404,2.2069818118601034,2.2051017834218114,4.4845226704540115,4.490120612982584,4.564534068368068,2.2051017834218114,2.203079849073695,4.478496593413791,4.4845226704540115,2.2324169671264404,4.564534068368068,0.000545,0.000545,0.13488145388523623,0.17031528429042228,0.2685700464781158,0.17031528429042228,0.2685700464781158
24,0.15660706876777475,0.15609180714908177,0.15605387683994457,0.25100286843438624,0.2510638769564867,0.25189264293721736,0.15605387683994457,0.15601096202381365,0.2509338426455669,0.25100286843438624,0.15660706876777475,0.25189264293721736,57.679748101207004,57.679748101207004,0.9930737277858517,0.9898063607347566,0.9895658377890981,0.9895658377890981,0.9892937071837066,0.9930737277858517,0.003778245601700782,2.063189103671661,2.0382731123618925,2.036430705963588,4.2185453725197695,4.2240839888811665,4.297678775005544,2.036430705963588,2.0344497586872943,4.212583927962946,4.2185453725197695,2.063189103671661,4.297678775005544,0.00057,0.00057,0.13101781088947725,0.15769933730594654,0.2536494883404427,0.15769933730594654,0.2536494883404427
25,0.14492389142460843,0.14441196863902386,0.14437225534764814,0.23685798755774443,0.23692314142163537,0.2377630050123685,0.14437225534764814,0.14432605622593694,0.23678219300172607,0.23685798755774443,0.14492389142460843,0.2377630050123685,56.71235914592019,56.71235914592019,0.9925076757610137,0.9890017852615584,0.9887298097706114,0.9887298097706114,0.9884134162314853,0.9925076757610137,0.0036955918709622336,1.9065820349038862,1.8821813052128107,1.8803768291236438,3.967542504085383,3.9730201119246797,4.045786132068327,1.8803768291236438,1.8784387966634806,3.9616500853173795,3.967542504085383,1.9065820349038862,4.045786132068327,0.000598,0.000598,0.1272395652877764,0.14601790491291344,0.23955785009930697,0.14601790491291344,0.23955785009930697
26,0.13410854346068196,0.13359807475828728,0.13355532337436463,0.22349389740307146,0.2235654383433413,0.22441966591673937,0.13355532337436463,0.13350577434939276,0.22341098116713498,0.22349389740307146,0.13410854346068196,0.22441966591673937,55.74599425048198,55.74599425048198,0.9919141561709086,0.9881385493443686,0.9878223450085785,0.9878223450085785,0.9874558629185806,0.9919141561709086,0.003615346975525274,1.7616581434792777,1.7377693365737867,1.7360045737759957,3.7306845165276386,3.7360969705030445,3.8080231270559577,1.7360045737759957,1.7341127404375436,3.7248678923156535,3.7306845165276386,1.7616581434792777,3.8080231270559577,0.000633,0.000633,0.12354397341681417,0.1352017638082532,0.22624908064934549,0.1352017638082532,0.22624908064934549
27,0.12409597477099199,0.12358405819876725,0.12353820851317553,0.21086569745960854,0.2109439576679033,0.21181774114220217,0.12353820851317553,0.1234861989273915,0.21077692300097808,0.21086569745960854,0.12409597477099199,0.21181774114220217,54.780987115325985,54.780987115325985,0.9912862745100525,0.987197053464188,0.9868308033573528,0.9868308033573528,0.9864153475891396,0.9912862745100525,0.003536744468108041,1.6275496000185958,1.6041712618154995,1.602449250401631,3.507190619124567,3.512531532159703,3.5836034611392185,1.602449250401631,1.6006069660881508,3.5014569111485185,3.507190619124567,1.6275496000185958,3.5836034611392185,0.000671,0.000671,0.11992862644128889,0.12518681834097517,0.21367968727993739,0.12518681834097517,0.21367968727993739
28,0.11482657997400059,0.11431047627339182,0.11426235156288071,0.1989335199253308,0.19901730621124572,0.19991585524690153,0.11426235156288071,0.11420944809410714,0.19884141370560543,0.1989335199253308,0.11482657997400059,0.19991585524690153,53.81743411361622,53.81743411361622,0.9906211214198563,0.9861686398883001,0.985753462890907,0.985753462890907,0.9852970590375889,0.9906211214198563,0.0034596440985975455,1.5034536252476038,1.4805872036167322,1.4789110418884555,3.296324921664959,3.3015875744918,3.3717857199970163,1.4789110418884555,1.4771207671607594,3.2906799881475406,3.296324921664959,1.5034536252476038,3.3717857199970163,0.000711,0.000711,0.11639188197318084,0.1159137206860881,0.20180859354216307,0.1159137206860881,0.20180859354216307
29,0.10624531321818431,0.1057232509545551,0.10567430108936313,0.18766114649043508,0.18774807384862702,0.18867517534749761,0.10567430108936313,0.10562199231032392,0.18756825422292236,0.18766114649043508,0.10624531321818431,0.18867517534749761,52.85536978153088,52.85536978153088,0.9899167898025267,0.9850525921787917,0.9845965128286128,0.9845965128286128,0.9841091375547629,0.9899167898025267,0.0033840499334479956,1.3886270452736031,1.3662767273433405,1.3646486903255748,3.0973914017396282,3.1025702682805543,3.1718698647501147,1.3646486903255748,1.3629113190666522,3.091838574441935,3.0973914017396282,1.3886270452736031,3.1718698647501147,0.000749,0.000749,0.11293223787458329,0.10732751915378527,0.1905970050120429,0.10732751915378527,0.1905970050120429
30,0.09830160692461472,0.09777328799800668,0.09772489022044765,0.1770151119560366,0.177102777831063,0.17805975443887553,0.09772489022044765,0.09767397555264282,0.17692288708270754,0.1770151119560366,0.09830160692461472,0.17805975443887553,51.89461334692774,51.89461334692774,0.9891753421269647,0.9838590500405043,0.9833720398107342,0.9833720398107342,0.982859702977993,0.9891753421269647,0.003310366841225384,1.282381732055419,1.2605534763887853,1.2589743892362117,2.909730255249193,2.914822194431927,2.983194689402617,1.2589743892362117,1.2572893267563283,2.9042703202190125,2.909730255249193,1.282381732055419,2.983194689402617,0.000782,0.000782,0.10954818794113529,0.09937733254980118,0.18000828251137385,0.09937733254980118,0.18000828251137385
